,user,item,rating
0,0,0,5
1,0,1,5
2,0,2,5
3,0,3,5
4,0,4,4
5,0,5,5
6,0,6,4
7,0,7,4
8,0,8,4
9,0,9,5
10,0,10,5
11,0,0,5
12,0,1,5
13,0,2,5
14,0,11,5
15,0,12,5
16,0,3,5
17,0,4,4
18,0,5,5
19,0,6,4
20,0,7,4
21,0,8,4
22,0,9,5
23,0,13,5
24,0,14,5
25,0,15,5
26,0,16,5
27,0,17,4
28,0,18,5
29,0,19,4
30,0,20,4
31,0,21,4
32,0,22,4
33,0,23,4
34,0,24,4
35,0,17,4
36,0,25,5
37,0,18,5
38,0,26,4
39,0,27,4
40,0,19,4
41,0,20,4
42,0,22,4
43,0,24,4
44,0,28,5
45,0,25,5
46,0,18,5
47,0,14,5
48,0,29,5
49,0,30,5
50,0,14,5
51,0,31,5
52,0,32,5
53,0,33,5
54,0,16,5
55,0,34,5
56,0,35,5
57,0,36,5
58,0,37,5
59,0,38,5
60,0,39,5
61,0,31,5
62,0,32,5
63,0,15,5
64,0,40,5
65,0,33,5
66,0,33,5
67,0,16,5
68,0,41,5
69,0,35,5
70,0,36,5
71,0,36,5
72,0,37,5
73,0,29,5
74,0,13,5
75,0,13,5
76,0,30,5
77,0,14,5
78,0,32,5
79,0,15,5
80,0,40,5
81,0,33,5
82,0,16,5
83,0,34,5
84,0,37,5
85,0,39,5
86,0,29,5
87,0,13,5
88,0,30,5
89,0,14,5
90,0,31,5
91,0,32,5
92,0,15,5
93,0,40,5
94,0,40,5
95,0,33,5
96,0,16,5
97,0,35,5
98,0,36,5
99,0,37,5
100,0,38,5
101,0,42,5
102,0,43,4
103,0,43,4
104,0,44,4
105,0,45,5
106,0,46,5
107,0,47,5
108,0,48,5
109,0,49,5
110,0,50,5
111,0,51,4
112,0,52,5
113,0,53,5
114,0,54,5
115,0,55,5
116,0,56,5
117,0,57,5
118,0,58,5
119,0,59,5
120,0,53,5
121,0,57,5
122,0,53,5
123,0,56,5
124,0,57,5
125,0,58,5
